id,status_group
6726,functional
52615,functional
55550,functional
40980,functional
57893,functional
14610,functional
41351,functional
5231,functional
11898,functional
50747,functional
18417,functional
48188,functional
68542,non functional
38998,functional
48048,non functional
32495,functional
22281,functional
2423,functional
66543,functional
26977,functional
4077,functional
58433,functional
49256,functional
20211,non functional
58301,functional
11267,functional
7686,non functional
49878,functional
4579,non functional
16300,non functional
10669,functional
63055,non functional
61229,non functional
1890,functional
34111,functional
46325,non functional
3283,functional
67699,non functional
6387,functional
39296,functional
45508,functional needs repair
15659,non functional
66407,functional
28058,functional
9459,functional
40117,functional
8674,functional
31878,functional
7864,non functional
43057,functional
36748,non functional
23683,functional
53610,non functional
50916,functional
45036,non functional
3403,functional
17032,non functional
36778,non functional
12095,functional
1382,functional
31039,non functional
38611,functional
24811,non functional
12601,functional
73783,functional
23554,functional
73794,functional
56131,functional
5544,non functional
58023,functional
65765,non functional
53633,functional
2086,non functional
72847,non functional
42664,functional
52238,functional
72984,functional
66894,functional
50704,functional
34217,functional
26745,functional
68508,non functional
60379,functional
46814,functional
4571,non functional
72191,non functional
27207,functional
12993,non functional
29227,non functional
48421,functional
7281,functional
8512,non functional
2964,functional needs repair
33765,functional
42830,functional
43407,non functional
42294,functional needs repair
54033,non functional
46635,functional
12115,functional
63513,functional
40473,functional
54226,functional
39334,non functional
12767,functional
35987,non functional
63638,functional
65247,functional
51116,functional
63747,functional
27966,non functional
47884,functional
59603,functional
10255,non functional
16641,functional
44774,functional
69937,functional
31531,non functional
41831,functional
54747,non functional
61739,non functional
69870,non functional
29105,non functional
21081,functional
55503,functional
3811,functional
23729,non functional
41406,functional
33757,functional needs repair
3125,functional
36624,non functional
22054,functional
50317,functional
44424,functional
6674,functional
41272,functional
44908,non functional
52716,functional needs repair
56484,non functional
69621,functional
18084,functional
20353,non functional
7820,functional needs repair
62142,non functional
39397,non functional
63496,functional
9385,functional
783,non functional
71827,functional
38442,functional
3396,functional
49019,non functional
25377,non functional
68892,non functional
56859,functional
23671,functional
22760,non functional
28970,non functional
70869,functional
31282,functional
36383,functional
66196,functional
70753,functional
50842,non functional
16941,functional
55175,non functional
23971,non functional
112,functional
17592,functional
28520,functional
71090,functional
7232,non functional
71514,non functional
69441,non functional
29142,non functional
50394,functional
40783,non functional
73959,non functional
32737,non functional
10336,functional
68090,functional
11560,functional needs repair
44068,functional
48000,functional
1561,functional needs repair
43396,functional
73495,functional
70237,non functional
40924,functional
31345,functional
17897,functional needs repair
22139,non functional
11136,functional
57234,functional
26260,functional needs repair
26871,functional
58840,non functional
9656,non functional
1918,functional
60640,functional
2815,functional
64248,functional
42806,functional
52594,non functional
25939,non functional
70971,functional
51606,functional
24656,functional
8291,functional
31123,functional
46774,functional
10485,functional
66377,functional
20954,functional
39914,non functional
68788,non functional
63387,functional
46175,functional
5714,functional
41808,functional
30111,functional
16063,functional
19072,non functional
5107,functional
48064,functional
73361,functional needs repair
23324,non functional
52659,non functional
44093,functional
60215,non functional
26603,functional
41142,functional
69486,functional
37832,functional
5927,non functional
31933,functional
35762,non functional
66704,functional
59085,functional
55095,functional
1755,functional
56714,non functional
70431,non functional
25698,non functional
61290,functional
67027,functional
41465,non functional
43143,functional
63239,non functional
63458,functional
8327,functional
72105,functional
1074,functional
1083,non functional
30697,functional
64147,functional
66127,non functional
32133,functional
41248,non functional
834,functional
51096,non functional
55607,non functional
19980,functional
5288,functional
4435,functional
74166,non functional
63651,functional
72273,functional
57749,functional
40933,functional
19758,functional
50025,functional
51348,non functional
39018,functional
69234,non functional
43652,functional
6974,non functional
60399,functional needs repair
71617,non functional
6594,non functional
60908,functional
18692,non functional
9440,functional
71814,functional
70138,functional
48753,non functional
54975,functional
14342,non functional
55441,non functional
15093,functional
415,functional
3002,functional
73698,functional
11469,non functional
5941,functional
47246,functional needs repair
21953,non functional
11531,non functional
8328,functional
9256,non functional
62644,non functional
71394,non functional
30544,functional
23159,functional
46227,functional
44364,functional
45798,functional
23030,functional
70243,functional
35531,non functional
24830,non functional
64334,non functional
6928,non functional
58972,non functional
12773,functional
16123,non functional
49249,non functional
70660,functional
18029,functional
63201,functional
4804,non functional
8749,functional
10418,functional
14793,non functional
64783,non functional
64894,functional
21534,non functional
632,functional
44267,non functional
58934,non functional
932,non functional
26409,non functional
8758,functional
46865,non functional
2637,functional
14641,functional
59146,functional
49492,functional
36685,non functional
62271,functional needs repair
11890,non functional
56477,non functional
30304,functional
22761,non functional
52065,non functional
55574,non functional
39399,functional
26023,non functional
72446,functional
38971,functional
69953,functional
68835,functional
45719,non functional
47399,functional
42984,non functional
8441,non functional
44512,functional
67157,functional
59825,functional
57015,non functional
64921,non functional
62949,non functional
55371,functional
22040,functional
2397,functional
48175,non functional
55454,functional
64432,non functional
32061,non functional
43668,functional
74208,functional
67329,functional
20659,functional
71881,functional
19810,functional
33960,functional
46909,functional
73893,functional
48568,non functional
19065,functional
25906,functional
44534,functional
50131,functional
57386,non functional
42243,functional
40156,functional
39823,functional
1392,non functional
61309,non functional
40251,functional
59475,functional
9741,non functional
66070,functional
65404,functional
17633,non functional
36470,functional
45980,non functional
31259,functional
68223,functional
13346,non functional
59055,functional needs repair
37566,functional
42670,functional
42253,non functional
12552,functional
24451,functional
19851,functional
30602,non functional
70944,non functional
46156,functional
17794,functional
10672,functional
58645,non functional
14556,non functional
64839,functional
12593,functional
60424,functional
28362,functional
43776,non functional
66972,functional
52158,non functional
41813,functional
71001,functional
66058,functional
55741,functional
46871,functional
18218,functional
15533,functional
62298,functional
63131,functional
25394,non functional
8721,functional
17484,functional
50119,non functional
24596,functional
3067,non functional
11841,non functional
31031,functional
13993,non functional
4000,functional
51057,functional
33560,functional
72955,functional
45333,non functional
64150,functional
46058,non functional
68978,non functional
58851,functional
73991,functional
50720,functional
32530,functional
24713,functional
28845,functional
6487,functional
48269,non functional
36659,functional
31268,functional
5793,non functional
37977,non functional
51387,non functional
36838,non functional
4840,non functional
11350,functional
50904,non functional
31219,functional
22741,functional
48219,non functional
38341,functional
64051,functional
1833,non functional
62866,functional
55608,functional
41562,functional
6205,non functional
25057,functional
29085,non functional
73855,functional
25202,functional
45441,functional
18414,functional
18431,functional
14329,functional
14270,functional
65234,non functional
41891,non functional
33594,functional
2829,non functional
65046,functional
22068,functional needs repair
65298,non functional
60504,non functional
9813,functional
28669,functional
67525,non functional
69581,functional
59553,non functional
29393,non functional
35285,functional
48982,functional needs repair
43895,functional
34334,non functional
65637,non functional
59606,functional
49168,functional
13227,non functional
17749,non functional
57145,non functional
69899,functional
63454,functional needs repair
48358,functional
74242,functional
36377,functional
25091,non functional
11886,non functional
24685,non functional
44451,functional
20685,functional needs repair
45365,functional
61576,functional
26613,functional
29554,non functional
63342,functional
56868,functional
32154,functional
41209,functional
39863,functional
67322,non functional
32213,non functional
8114,non functional
56252,functional
42712,functional
63524,functional
48485,non functional
43874,functional
66,non functional
3418,non functional
25529,functional
55185,functional
26214,functional
70550,non functional
51600,non functional
66851,functional
32560,functional
59283,non functional
2543,functional
40536,functional
26659,non functional
36848,functional
4361,non functional
48020,non functional
2864,non functional
2752,functional
70594,functional
41302,functional
2204,non functional
1316,functional
53814,functional
13174,functional
3054,functional
43422,non functional
12960,functional needs repair
3555,non functional
19713,functional
68477,functional
50576,functional
10190,functional
34626,non functional
3406,functional
34906,functional
56004,functional
42411,functional
73989,functional needs repair
3477,non functional
15579,non functional
30426,functional
6733,functional
62422,functional
15857,functional
45496,functional
55900,functional
66208,functional
73466,functional
47783,non functional
58033,non functional
56103,functional
68118,functional
63265,non functional
33014,non functional
73970,functional
9901,functional
12595,functional
22909,functional
64685,functional
26031,functional
63742,non functional
38205,non functional
66276,functional
28210,functional
56838,functional
1587,functional
18156,functional
59253,functional
63136,functional
70380,functional
31629,non functional
32877,non functional
17106,non functional
57763,functional
64780,non functional
8731,non functional
27118,functional
12914,functional
3987,functional
34733,non functional
44295,non functional
57717,non functional
38143,non functional
13235,non functional
11489,functional
30363,functional
63876,functional
9603,functional
30714,non functional
37532,functional
40305,non functional
71964,functional
53760,functional
25025,non functional
6630,functional
64027,functional
5123,functional
32481,non functional
40098,non functional
9168,functional
25019,functional
58586,functional needs repair
17736,non functional
47065,functional
5187,functional
35181,non functional
6961,functional needs repair
38310,functional
68785,non functional
13745,non functional
29872,functional
39242,non functional
13858,functional
25308,functional
62591,non functional
52425,functional
48340,non functional
21567,non functional
30631,functional
30809,non functional
2021,non functional
1437,functional
27938,non functional
9707,functional needs repair
16967,functional
10479,functional
68028,functional
17485,functional
19927,non functional
10422,non functional
65618,functional
48169,functional
30534,functional
8899,non functional
65653,functional
13298,functional
45620,functional
55080,functional
50538,non functional
59572,non functional
68642,functional
52611,non functional
71370,functional
41020,functional
71139,non functional
28046,functional
68619,non functional
70042,functional
21943,functional
10474,functional
21037,functional
28755,functional
38520,functional
60444,functional
11634,non functional
1537,non functional
37430,functional
20350,functional
34823,functional
5032,functional
54321,functional
54509,functional
26361,non functional
8516,functional
8868,functional
37854,non functional
46880,functional
64325,functional
39107,functional
14661,non functional
60480,functional
55588,non functional
361,functional
19524,functional
29523,non functional
62859,functional
23829,functional
9625,functional
71969,functional
72680,non functional
63124,functional
60226,functional
70131,non functional
19762,non functional
42303,non functional
8034,functional
32055,functional
58432,functional
2692,non functional
30609,functional
64131,non functional
55740,functional
41576,non functional
17018,functional
42061,non functional
34112,non functional
43301,non functional
38231,functional
65955,non functional
57298,functional
6686,non functional
72730,non functional
31375,functional
44785,non functional
60899,functional needs repair
65146,non functional
45905,non functional
2596,functional
34780,functional
67400,functional
41763,functional
3629,non functional
17766,non functional
7661,functional
66775,non functional
64837,functional
65881,functional
33839,functional
56584,non functional
2488,functional
28576,functional
31098,functional
19580,non functional
23795,functional
49204,functional
170,non functional
41553,functional
40438,functional
17568,functional
69015,functional
4889,non functional
33621,functional
57819,functional
20519,functional
9020,functional
55754,non functional
69952,functional
26741,functional
37971,non functional
73571,functional
68183,non functional
70507,non functional
46419,functional
33379,functional needs repair
62168,functional
16702,non functional
35722,non functional
74127,functional
61839,non functional
11123,non functional
30012,non functional
50041,functional
38124,non functional
50572,non functional
58311,functional
35959,functional
19647,functional
21390,functional
14975,non functional
17737,functional
65868,functional
18693,functional
14939,non functional
51173,non functional
67844,non functional
46291,functional
65585,functional
28534,non functional
21929,functional
51845,functional
644,functional
4888,non functional
11139,functional
5013,non functional
500,functional
9057,functional
64215,functional
67874,non functional
61182,functional
33213,functional
8654,non functional
20762,non functional
67447,functional
33957,functional
67996,non functional
19242,functional
2242,functional
26343,functional
5122,functional
8080,functional
13144,non functional
10121,non functional
56391,functional
46829,functional
68358,non functional
41349,functional
36926,functional
21972,functional
22233,non functional
35282,functional
57040,functional
69573,functional
35149,non functional
42953,non functional
7821,functional
34677,functional
53875,non functional
48244,functional
16376,functional
5139,non functional
70356,functional
67031,functional
65936,functional
5294,non functional
20051,non functional
56317,non functional
67812,non functional
42034,non functional
51607,functional
44089,functional
31740,functional
44035,functional
56650,non functional
40721,non functional
15201,non functional
11518,functional
42605,functional
59562,functional
39069,functional
69451,functional
33763,functional
30978,non functional
43514,functional
36504,functional
60083,functional
4712,functional
17507,functional
62444,functional
44436,non functional
22998,non functional
73296,functional
26287,non functional
52647,functional
35446,functional
25207,non functional
33017,non functional
27301,non functional
28045,non functional
21187,functional
18720,non functional
2754,non functional
7682,non functional
25312,functional
37157,non functional
20909,functional
71079,non functional
24087,non functional
34437,functional
16629,functional
20237,non functional
67353,functional
27589,non functional
73531,functional
72458,functional
42598,functional
54929,non functional
54565,functional
15959,functional
52706,non functional
5054,non functional
6044,non functional
29460,functional
22685,functional needs repair
38401,functional
26278,functional
27360,non functional
41669,non functional
29126,non functional
59265,non functional
12262,functional
30016,non functional
57471,functional
41365,functional
24418,non functional
3488,functional
30807,functional
10878,non functional
40893,functional
66908,functional
44954,functional
57409,functional
73938,functional
63235,functional
61513,non functional
30786,functional
22564,non functional
9927,functional
30485,functional
46365,functional
32970,non functional
21598,non functional
10204,non functional
48814,functional
14699,functional
62674,functional
68941,functional
59885,functional
56935,functional
58437,non functional
17125,non functional
13632,non functional
18077,non functional
37581,functional
37681,non functional
19621,functional
35555,functional
60002,non functional
48672,functional
64007,non functional
15468,non functional
14585,non functional
25369,functional
14016,functional
3032,non functional
3242,functional
12969,non functional
13995,non functional
4662,functional needs repair
4006,non functional
4184,functional
17760,non functional
73471,non functional
11933,functional
44769,functional
38040,functional
53673,functional
50897,non functional
51535,non functional
37941,functional
27136,non functional
47241,functional
69324,functional
45910,functional
20106,functional
27190,non functional
22455,functional
29646,functional
49566,functional
41531,functional
22974,non functional
72666,functional
47653,functional
5916,non functional
19796,functional
61077,functional
53269,functional
36409,non functional
23725,functional
20179,functional
7592,non functional
22722,functional
45200,functional
27850,functional
30626,functional
34867,non functional
22624,non functional
52203,functional
53740,functional
10943,non functional
44370,functional
12436,functional
72103,functional
29634,non functional
43961,functional
34270,functional
4082,non functional
42915,functional
38425,functional
22767,non functional
4043,functional
38500,non functional
56173,functional needs repair
67987,non functional
1562,functional
8917,functional
62948,functional
12982,functional
63709,non functional
28018,non functional
10285,functional
44902,functional
13703,functional
20165,functional
62769,non functional
13882,non functional
60211,non functional
37995,functional
53359,non functional
48250,functional
64466,functional
73946,functional
53582,functional
45180,functional
44571,non functional
29522,functional
67412,functional needs repair
66351,functional
59962,functional
24440,functional
21913,functional needs repair
26187,functional
41901,functional
11154,functional
6354,non functional
40233,functional
12888,functional
2824,functional
54445,non functional
51932,functional
55750,functional
23510,non functional
65700,functional
54162,functional
64101,non functional
9094,functional
3891,functional
68526,non functional
18282,non functional
791,functional
44065,functional
7155,functional
53193,functional
42580,functional
67050,functional
19982,functional
49295,non functional
26932,functional
42241,functional
6455,functional
11846,functional
33803,functional
50583,functional
30814,non functional
35597,functional
60605,non functional
63654,functional
16247,functional
29272,functional
52337,functional
14462,non functional
7777,functional needs repair
40413,functional
47626,functional
11146,functional
16890,functional
43524,functional needs repair
33050,functional needs repair
15540,non functional
6539,non functional
6047,non functional
47743,functional
60945,non functional
52759,functional
27952,functional
21997,functional
11805,functional
56353,functional
72009,non functional
18386,non functional
24614,functional
30103,functional
69100,non functional
17904,functional
29192,non functional
63039,functional
2507,functional
63337,functional
44109,functional
26771,non functional
36993,functional
30419,non functional
47350,functional
37067,non functional
47543,functional
37893,functional
51499,functional
41244,functional
25157,functional
26978,non functional
56358,functional
22707,non functional
15883,functional
56042,functional
18349,functional
34397,functional
59166,functional
67190,functional
48168,functional
15514,functional
117,functional
54658,functional
19899,functional
51291,functional
41672,non functional
73569,non functional
7893,functional
40578,non functional
57138,functional
61306,non functional
17565,non functional
32197,non functional
20345,non functional
32775,non functional
60032,non functional
50750,functional
41875,non functional
18236,non functional
25096,non functional
16085,functional
46694,non functional
37747,functional
55685,functional
68544,functional
46799,non functional
18173,non functional
60582,functional
4387,non functional
71061,functional
45247,functional
39072,non functional
2982,non functional
4368,functional
60410,functional
1559,functional
61404,functional
10702,functional
17257,non functional
68899,functional
6356,functional
56375,functional needs repair
32117,functional
48652,functional
33241,functional
58503,non functional
1510,functional
31412,functional
50447,non functional
62765,functional
50758,non functional
43547,functional
41892,non functional
64435,functional
23842,functional
74008,non functional
34250,functional
53636,non functional
35937,functional
54550,functional
42412,functional
2138,non functional
51973,functional
38312,functional
14949,functional
63702,non functional
45349,non functional
